Article Code,Article Description,EAN Code,Brand,Category,Sub-category,Range,Pack Size
,Cherry T 100%N L Balm 2 g (Blister Pack),8904417303445.0,Mamaearth,Face,Lip Balm,Cherry,2.0
492506705.0,Mamaearth Tea Tree Oil-Free Face Moisturizer 80g,8906087775546.0,Mamaearth,Face,Moisturisers,Tea Tree,80.0
493695885.0,Vitamin C Daily Glow Face Cream 150 gm,8904417302608.0,Mamaearth,Face,Face Cream,Vitamin C,150.0
576153.0,TDC 1% Hyaluronic Sunscreen Aqua Gel 125g,8904417314618.0,The Derma Co.,Face,Sun Care,Hyaluronic Acid,125.0
554401.0,Hot Shot Heat Protection Hair Mist 150 ml,8906087779490.0,BBLUNT,Styling Products,Hair Spray,Hot Shot,150.0
494396873.0,5% Propylene Oil Free Moisturizer,8904417311297.0,The Derma Co.,Face,Moisturisers,Propylene Glycol,100.0
578002.0,Dr Sheth's Ceramide & Vitamin C Oil Free Sunscreen,8906148701736.0,Dr. Sheth's,Face,Sun Care,Ceramide & Vitamin C,50.0
570651.0,Glow+ Jello Moisturizer 50gm,8906087778189.0,Aqualogica,Face,Moisturisers,Glow+,50.0
578010.0,Dr Sheth's Kesar & Kojic Acid Oil Free Sunscreen - 50g,8906148701743.0,Dr. Sheth's,Face,Sun Care,Kesar & Kojic Acid,50.0
573664.0,Hyaluronic Sunscreen Stick,8904417300598.0,The Derma Co.,Face,Sun Care,Hyaluronic Acid,20.0
494237897.0,Intense Moisture Heat Spa Hair Mask 70 g,8904417307122.0,BBLUNT,Hair Care,Hair Mask,Intense Moisture,70.0
568997.0,Rice Night Cream 50 g,8906087779339.0,Mamaearth,Face,Face Cream,Rice,50.0
578005.0,Haldi & Hyaluronic Acid Sunscreen - 50 gm,8906148700333.0,Dr. Sheth's,Face,Sun Care,Haldi & Hyaluronic Acid,50.0
578008.0,Dr Sheth's Kesar & Kojic Acid Oil- Free Moisturizer - 100g,8906148702078.0,Dr. Sheth's,Face,Moisturisers,Kesar & Kojic Acid,100.0
574274.0,ME Rosemary Hair Growth Scalp Serum 50 ml,8904417313765.0,Mamaearth,Hair,Hair Serum,Rosemary,50.0
574793.0,Hair Fall Control Scalp Hair Tonic 50 ml,8904417305821.0,BBLUNT,Hair Care,Hair Tonic,Hair Fall,50.0
578006.0,Dr Sheth's Kesar & 2% Kojic Acid Ampoule Serum - 30ml,8906148700913.0,Dr. Sheth's,Face,Face Serum,Kesar & Kojic Acid,30.0
494237893.0,Intense Moisture Hair Mask 250 g,8904417307283.0,BBLUNT,Hair Care,Hair Mask,Intense Moisture,250.0
577998.0,Dr. Sheth's Centella & 10% Niacinamide Ampoule Serum - 30ml,8906148702092.0,Dr. Sheth's,Face,Face Serum,Centella & Niacinamide,30.0
578011.0,Dr Sheth's Gulab & Glycolic Acid Underarm Roll On 50ml,8906148701514.0,Dr. Sheth's,Body,Underarm,Gulab & Glycolic Acid,50.0
568671.0,Curly Hair Shampoo 300 ml,8904417302738.0,BBLUNT,Hair Care,Shampoo,Curly,300.0
562438.0,Salon Secret High Shine CrÃ¨me Hair Colour Fashion Shade Red 108 g,8906087779483.0,BBLUNT,Hair Colour,Creme Hair Colour,Salon Secret,108.0
578004.0,Haldi & Hyaluronic acid serum - 30 ml,8906148700401.0,Dr. Sheth's,Face,Face Serum,Haldi & Hyaluronic Acid,30.0
578009.0,Kesar & Kojic Daily Pigmentation Correction Cream - 50 gm,8906148700371.0,Dr. Sheth's,Face,Face Cream,Kesar & Kojic Acid,30.0
494447634.0,Kerala Thaali Hair Oil 150 ml,8904417314441.0,Mamaearth,Hair,Hair Oil,Kerala Thaali,150.0
494447632.0,Kerala Thaali Shampoo 250 ml,8904417315127.0,Mamaearth,Hair,Shampoo,Kerala Thaali,250.0
569992.0,Strawberry Natural Lip Balm 4.5gm,8906087770947.0,Mamaearth,Face,Lip Balm,Solution Oriented,4.0
493725509.0,Anti-Dandruff Conditioner 250 g,8904417305104.0,BBLUNT,Hair Care,Conditioner,Anti Dandruff,250.0
493654973.0,Hair Fall Control Conditioner 250 g,8904417303292.0,BBLUNT,Hair Care,Conditioner,Hair Fall,250.0
568672.0,Curly Hair Conditioner 250 g,8904417302776.0,BBLUNT,Hair Care,Conditioner,Curly,250.0
575399.0,ME Kerala Thaali Cleansing Hair Mask 200 g,8904417313963.0,Mamaearth,Hair,Hair Mask,Kerala Thaali,200.0
565117.0,Moisture Matte Longstay Lipstick / 01 Cartion Nude,8906087777779.0,Mamaearth,Color Care,Lipstick,Moisture Matte,2.0
565120.0,Moisture Matte Longstay Lipstick / 05 Bubblegum Nude,8906087777816.0,Mamaearth,Color Care,Lipstick,Moisture Matte,2.0
570406.0,Lash Care Volumizing Mascara 13 g,8904417301540.0,Mamaearth,Color Care,Mascara,Mascara,13.0
494237896.0,Intense Shine Hair Mask 250 g,8904417307320.0,BBLUNT,Hair Care,Hair Mask,Intense Shine,250.0
494336742.0,ME Neem Pimple Clear Face Wash 150 ml,8904417312379.0,Mamaearth,Face,Face Cleanser,Neem,150.0
578003.0,Liquorice & Lactic Acid Peel - 30 gm,706502246792.0,Dr. Sheth's,Face,Peel,Liquorice & Lactic Acid,30.0
494447633.0,Kerala Thaali Conditioner 250 ml,8904417315554.0,Mamaearth,Hair,Conditioner,Kerala Thaali,250.0
493725518.0,Lemon Anti-Dandruff Conditioner 250 ml,8904417305050.0,Mamaearth,Hair,Conditioner,Lemon,250.0
10104180.0,Glow Oil Control Compact / 04 Almond Glow 9 g,8906087778660.0,Mamaearth,Color Care,Compact,Oil Control,9.0
494337173.0,ME Onion hair oil 200 ml,8904417310245.0,Mamaearth,Hair,Hair Oil,Onion,200.0
2582949,TDC 1% Hyaluronic Sunscreen Oil-Free Gel,8904417319538.0,The Derma Co.,Face,Sun Care,Hyaluronic Acid,50.0
494410785.0,1% Hyaluronic Long Lasting Sunscreen 50 g,8904417311662.0,The Derma Co.,Face,Sun Care,Hyaluronic Acid,50.0
1993359,1% Kojic Acid Daily Glow Body S Lotion,8904417301632.0,The Derma Co.,Body,Body Lotion,Kojic Acid,250.0
494336738.0,Lemon Anti-Dandruff Shampoo 400 ml,8904417312294.0,Mamaearth,Hair,Shampoo,Lemon,400.0
2582955,TDC 5% Nia- Ceramide Daily Hydrating Moisturizer,8904417316933.0,The Derma Co.,Face,Moisturisers,Nia-Ceramide,100.0
2582956,TDC 5% Nia-Ceramide Mattifying Moisturizer,8904417316926.0,The Derma Co.,Face,Moisturisers,Nia-Ceramide,100.0
1806140,Glow+ Concentrate Face Serum 30ml,8906087778202.0,Aqualogica,Face,Face Serum,Glow+,30.0
1312390,Ubtan Cleansing Milk 100 ml,8906087776635.0,Mamaearth,Face,Face Cleanser,Ubtan,100.0
1312391,Ubtan Face Serum 30 ml,8906087776611.0,Mamaearth,Face,Face Serum,Ubtan,30.0
1507444,Henna Shampoo 250 ml,8906087778585.0,Mamaearth,Hair,Shampoo,Henna,250.0
494409837.0,Lemon Anti-Dandruff Hair Oil 100 ml,8904417315875.0,Mamaearth,Hair,Hair Oil,Lemon,100.0
492367794.0,Rice Hair Oil 150 ml,8906087775072.0,Mamaearth,Hair,Hair Oil,Rice,150.0
494751041.0,ME Rosemary Anti-Hair Fall Shampoo 650ml,8904417323696.0,Mamaearth,Hair,Shampoo,Rosemary,650.0
494609172.0,ME Rice Water Strengthening Shampoo 400 ml,8904417322361.0,Mamaearth,Hair,Shampoo,Rice,400.0
494237907.0,Onion Shampoo 650ml,8904417309546.0,Mamaearth,Hair,Shampoo,Onion,650.0
494751039.0,ME Lemon Anti Dandruff Shampoo 100ml,8904417323559.0,Mamaearth,Hair,Shampoo,Lemon,100.0
494337283.0,Onion Shampoo 50 ml,8904417316285.0,Mamaearth,Hair,Shampoo,Onion,50.0
494337199.0,Neem Moisturizing Lotion Soap 125 g,8904417312201.0,Mamaearth,Body,Soap,Neem,125.0
494337198.0,Multani Mitti Moisturizing Lotion Soap 125 g,8904417311877.0,Mamaearth,Body,Soap,Multani Mitti,125.0
494579828.0,BB Bond Repair Conditioner 250g,8904417319484.0,BBLUNT,Hair Care,Conditioner,Bond Repair,250.0
494579826.0,BB Bond Repair Treatment Hair Mask 250g,8904417319491.0,BBLUNT,Hair Care,Hair Mask,Bond Repair,250.0
494237906.0,Intense Shine Hair Serum 70 ml,8904417309201.0,BBLUNT,Hair Care,Hair Serum,Intense Shine,70.0
494431418.0,BB Intense Moisture Hair Serum 70 ml,8904417310825.0,BBLUNT,Hair Care,Hair Serum,Intense Moisture,70.0
494343513.0,Intense Moisture Shampoo 650 ml,8904417311426.0,BBLUNT,Hair Care,Shampoo,Intense Moisture,650.0
494579827.0,BB Bond Repair Shampoo 300ml,8904417319477.0,BBLUNT,Hair Care,Shampoo,Bond Repair,300.0
493725551.0,1% Hyaluronic Tinted Sunscreen Gel 30g,8904417306217.0,The Derma Co.,Face,Sun Care,Hyaluronic Acid,30.0
494409945.0,Pure Origin Korean Vitamin C Bright Boosting Serum Cream- 50g,8904417311433.0,Pure Origin,Face,Face Cream,Vitamin C,50.0
494409947.0,Pure Origin Korean Vitamin C Bright Boosting Face Wash,8904417311648.0,Pure Origin,Face,Face Cleanser,Vitamin C,150.0
494409946.0,Pure Origin Korean Vitamin C Bright Boosting Face Serum,8904417311624.0,Pure Origin,Face,Face Serum,Vitamin C,10.0
494409949.0,Pure Origin Korean Vitamin C Bright Boosting Sunscreen,8904417313741.0,Pure Origin,Face,Suncare,Vitamin C,50.0
494261504.0,Glow Serum Foundation-02 Creme Glow 18ml,8904417306552.0,Mamaearth,Color Care,Foundation,Mini Foundation,18.0
494261505.0,Glow Serum Foundation-03 Nude Glow18ml,8904417306569.0,Mamaearth,Color Care,Foundation,Mini Foundation,18.0
492367805.0,Rose Bamboo Sheet Mask,8906087773528.0,Mamaearth,Face,Face Masks,Rose,25.0
493695700.0,Vitamin C T 100% N L Balm 2 g (Blister P,8904417303414.0,Mamaearth,Face,Lip Balm,Vitamin C,2.0
494431968.0,ME Mamaearth into the Waves Eau De Parfum,8904417315301.0,Mamaearth,Fragrances,EAU DE PARFUM,Nature Inspired,100.0
494474312.0,Mamaearth EAU DE PARFUM set of 4,8904417315691.0,Mamaearth,Fragrances,EAU DE PARFUM,Nature Inspired,60.0
494474310.0,ME EAU DE PAERFUM Set of 2 MAN,8904417316094.0,Mamaearth,Fragrances,EAU DE PARFUM,Nature Inspired,30.0
494431972.0,ME Mamaearth into the Woods Eau De Parfum,8904417315493.0,Mamaearth,Fragrances,EAU DE PARFUM,Nature Inspired,100.0
494431970.0,ME Mamaearth into the Sunset Eau De Parfum,8904417315516.0,Mamaearth,Fragrances,EAU DE PARFUM,Nature Inspired,100.0
494431971.0,ME Mamaearth into the Valley Eau De Parfum,8904417315509.0,Mamaearth,Fragrances,EAU DE PARFUM,Nature Inspired,100.0
494474311.0,ME EAU DE PARFUM Set of 2 WOMAN,8904417316100.0,Mamaearth,Fragrances,EAU DE PARFUM,Nature Inspired,30.0
494431969.0,ME Mamaearth into the Vanilla Bliss Eau De Parfum,8904417315523.0,Mamaearth,Fragrances,EAU DE PARFUM,Nature Inspired,100.0
493695687.0,Honey Malai Body Lotion 400 ml,8904417303124.0,Mamaearth,Body,Body Lotion,Honey Malai,400.0
494624221.0,ME Aloe Vera Gel 150 ml,8904417320558.0,Mamaearth,Body,Body Gel,Aloe Vera,150.0
494261531.0,Glow Serum BB Cream / Natural - 25 g,8904417307733.0,Mamaearth,Color Care,BB Cream,BB Cream,25.0
494337202.0,ME Vitamin C Face Wash 100 ml + Vitamin C Moisturising Lotion Soap 125 g = 225 g,8904417314045.0,Mamaearth,Face,Face Cleanser,Vitamin C,225.0
494418130.0,Beetroot Daily Glow face Cream 80 g,8904417312171.0,Mamaearth,Face,Face Cream,Beetroot,80.0
493654975.0,Hot Shot Hold Spray 300 ml,8906087779506.0,BBLUNT,Styling Products,Hair Spray,Hot Shot,300.0
494418140.0,Glow+ Dewy Sunscreen 30g,8904417314380.0,Aqualogica,Face,Sun Care,Glow+,30.0
494418141.0,Radiance+ Dewy Sunscreen 30g,8904417314397.0,Aqualogica,Face,Sun Care,Radiance+,30.0
494261535.0,Detan+ Dewy Sunscreen 80g,8904417308587.0,Aqualogica,Face,Sun Care,Detan+,80.0
494396864.0,Illuminate+ Dewy Sunscreen SPF 50+ PA++++ 80g,8904417311532.0,Aqualogica,Face,Sun Care,Illuminate+,80.0
494410786.0,Pore Minimizing Priming Sunscreen 80g,8904417311907.0,The Derma Co.,Face,Sun Care,Niacinamide,80.0
MAM0508,ME Rice Water Dewy Sunscreen 50 g,8904417320831.0,Mamaearth,Face,Sun Care,Rice,50.0
TDC0002,TDC Triple Actives Anti-Dandruff Shampoo_200ml,8904417322989.0,The Derma Co.,Hair,Shampoo,Anti Dandruff,200.0
MAM0148,Castor Oil for Healthier Skin Hair and Nails with 100% Pure and Natural Cold-Pressed Oil 150ml,8906087771968.0,Mamaearth,Hair,Hair Oil,Castor,150.0
MAM0442,Coco Soft Massage Oil For Babies 200 ml,8904417300666.0,Mamaearth,Baby,Massage Oil,Coco Soft,200.0
BBL0025,BB Salon Secret High Shine Conditioning Hair Colour - Natural Black 130 g,8904417322422.0,BBLUNT,Hair Colour,Creme Hair Colour,Salon Secret,130.0
MAM0439,Coco Soft Body Wash For Babies 400 ml,8904417300635.0,Mamaearth,Baby,Baby Body Wash,Coco Soft,400.0
MAM0484,Ubtan Ultra Light Gel Oil-Free Moisturizer 200 ml,8906087775553.0,Mamaearth,Face,Moisturisers,Ubtan,200.0
MAM0455,ME Baby Rich Moisturizing Cream 200 g,8904417310788.0,Mamaearth,Baby,Moisturisers,Solution Oriented,200.0
MAM0440,Coco Soft Shampoo For Babies 400 ml,8904417300642.0,Mamaearth,Baby,Shampoo,Coco Soft,400.0
,Intense Shine Shampoo 300 ml,8904417307306.0,BBLUNT,Hair Care,Shampoo,Intense Shine,300.0
61940.0,Vitamin C Sleeping Mask with Aloe Vera for Skin Illumination - 100 g,8906087772569.0,Mamaearth,Face,Face Masks,Vitamin C,100.0
,Mamaearth Naturally Matte Lip Serum / 05 Pink Daffodil,8906087777946.0,Mamaearth,Color Care,Liquid Lipstick,Naturally Matte,3.0
,Original Orange Body Wash For Kids 300 ml,8906087775027.0,Mamaearth,Baby,Kids Body Wash,Orange,300.0
P71898,Ubtan Nourishing Cold Cream 200 g*2,8904417301939.0,Mamaearth,Face,Cold Cream,Ubtan,400.0
P84134,Natural Baby Lip Balm For Babies 4.5gm,8906087770930.0,Mamaearth,Baby,Lip Balm,Solution Oriented,4.0
396130.0,Mamaearth Naturally Matte Lip Serum / 06 Candylicious Nude,8906087777953.0,Mamaearth,Color Care,Liquid Lipstick,Naturally Matte,3.0
396113.0,Glow Serum Foundation / 04 Sand Glow 30 ml,8906087778318.0,Mamaearth,Color Care,Foundation,Serum Foundation,30.0
397409.0,Vitamin C Under Eye Cream 20 ml,8906087776345.0,Mamaearth,Face,Under Eye Care,Vitamin C,20.0
393893.0,Argan Shampoo with Argan & Apple Cider Vinegar for Frizz-free & Stronger Hair - 250 ml,8906087771821.0,Mamaearth,Hair,Shampoo,Argan,250.0
331292.0,BB Salon Secret High Shine Conditioning Hair Colour - Honey Light Golden Brown 130 g,8904417322453.0,BBLUNT,Hair Colour,Creme Hair Colour,Salon Secret,130.0
398286.0,Vitamin C Face Milk with Vitamin C and Peach for Skin Illumination Ã¯Â¿Â½ 100 ml,8906087773351.0,Mamaearth,Face,Face Cream,Vitamin C,100.0
376761.0,Squalene + Zinc Oil Free Moisturizer 50gm,8906087772088.0,The Derma Co.,Face,Moisturisers,Squalene,50.0
376766.0,10 AZELAIC ACID CREAM(30GM),8906087772996.0,The Derma Co.,Face,Cream,Azelaic Acid,30.0
394240.0,Charcoal Nourishing Bathing Soap (75g*5),8906087776246.0,Mamaearth,Body,Soap,Charcoal,375.0
361160.0,"ME Baby breathe easy vapour roll - on, 40 ml",8906087771173.0,Mamaearth,Baby,OTC,Solution Oriented,40.0
382080.0,Natural Mosquito Repellent Gel 50ml,8906087770688.0,Mamaearth,Baby,Mosquito Protection,Solution Oriented,50.0
399839.0,Repair Remedy Conditioner 250 g,8904417302752.0,BBLUNT,Hair Care,Conditioner,Repair Remedy,250.0
393911.0,Mamaearth Tea tree face serum 30ml,8906087774532.0,Mamaearth,Face,Face Serum,Tea Tree,30.0
2727699,ME Vitamin C Daily Glow Sunscreen 125 g,8904417324617.0,Mamaearth,Face,Sun Care,Vitamin C,125.0
2727719,TDC 1% Hyaluronic Sunscreen Oil-Free Matte Gel SPF 50 80g,8904417324426.0,The Derma Co.,Face,Sun Care,Hyaluronic Acid,80.0
2727720,TDC 1% Hyaluronic Moisturizing Sunscreen Body Lotion SPF 50,8904417324624.0,The Derma Co.,Body,Body Lotion,Hyaluronic acid,200.0
2727703,Refresh+ Perfume Body Mist- Sun kissed vanilla 150ml,8904417313185.0,Aqualogica,Fragrance,Body Mist,Refresh+,150.0
2727704,Refresh+ Perfume Body Mist- Dewy floral kiss 150ml,8904417313192.0,Aqualogica,Fragrance,Body Mist,Refresh+,150.0
2727705,Refresh+ Perfume Body Mist- Sweet summer kiss 150ml,8904417313253.0,Aqualogica,Fragrance,Body Mist,Refresh+,150.0
2727706,Refresh+ Perfume Body Mist - Ocean Breeze 150ml,8904417317220.0,Aqualogica,Fragrance,Body Mist,Refresh+,150.0
2727708,AQ Refresh+ Perfume Body Mist - Mid Night Bloom 150ml,8904417320718.0,Aqualogica,Fragrance,Body Mist,Refresh+,150.0
2727698,ME Lemon Anti Dandruff Shampoo 600ml,8904417324679.0,Mamaearth,Hair,Shampoo,Lemon,600.0
493682148.0,The Derma Co. 1% Kojic + Arbutin Sheet Mask,8906087777076.0,The Derma Co.,Face,Face Masks,Kojic Acid,20.0
2727717,The Derma Co. 1% Collagen + Peptides Sheet Mask,8906087777045.0,The Derma Co.,Face,Face Masks,Collagen,20.0
2727710,TDC 10% Vitamin C Face Serum 50ml,8904417322521.0,The Derma Co.,Face,Face Serum,Vitamin C,50.0
2727711,TDC 10% Niacinamide Face Serum_50 ml,8904417322507.0,The Derma Co.,Face,Face Serum,Niacinamide,50.0
2727712,1% Kojic + Arbutin Night Repair Face Serum-Gel,8904417300079.0,The Derma Co.,Face,Face Serum,Kojic Acid,50.0
2727718,TDC Anti Pigmentation Kit,8904417323894.0,The Derma Co.,Combo,Combo,Kojic Acid,1.0
1806211,Radiance+Concentrate Face Serum 30ml,8906087779384.0,Aqualogica,Face,Face Serum,Radiance+,30.0
2727707,AQ Refresh+ Perfume Body Mist - Cherry Blossom Bloom 150ml,8904417320701.0,Aqualogica,Fragrance,Body Mist,Refresh+,150.0
2727724,TDC Peptide-Stem Cell Hair Fall Control Shampoo 400ml,8904417325348.0,The Derma Co.,Hair,Shampoo,Multi-Peptide,400.0
2727715,TDC 1% Kojic Acid Lip Balm SPF 50,8904417323276.0,The Derma Co.,Face,Lip Balm,Kojic Acid,4.5
493654983.0,Salon Secret High Shine CrÃ¨me Hair Colour Honey Light Gloden Brown 108 g,8906087779445.0,BBLUNT,Hair Colour,Creme Hair Colour,Salon Secret,108.0
110729.0,3% Vitamin E Face Moisturizer With Vitamin E & Lactic Acid - 100g (Pack of 2),8904417313451.0,The Derma Co.,Face,Moisturisers,Vitamin E,1.0
,RFWRW NiacinamideGlassSkin-100mlPack-2,8904417305135.0,Mamaearth,Face,Combo,Rice,200.0
,Moisture Matte Longstay Lipstick / 03 Candyfloss Pink,8906087777793.0,Mamaearth,Color Care,Lipstick,Moisture Matte,2.0
,Moisture Matte Longstay Lipstick / 10 Pink Lemode,8904417301892.0,Mamaearth,Color Care,Lipstick,Moisture Matte,2.0
,Moisture Matte Longstay Lipstick -17 Raisin Punch 2 g,8904417308563.0,Mamaearth,Color Care,Lipstick,Moisture Matte,2.0
MAM0597,ME Baby DermaSoft Body Lotion,8904417322569.0,Mamaearth,Baby,Body Lotion,DermaSoft,250.0
MAM0596,ME Baby Derma Soft Face Cream,8904417321722.0,Mamaearth,Baby,Moisturisers,DermaSoft,80.0
MAM0598,ME Baby DermaSoft Head to Toe Wash,8904417322552.0,Mamaearth,Baby,Baby Body Wash,DermaSoft,250.0
73919.0,Vitamin C Moisturizing Body Wash 250ml,8904417315639.0,Mamaearth,Body,Body Wash,Vitamin C,250.0
491451917,ME MILKY SFT FAC CRM FOR BABIES 60g TUBE,8906087770534,Mamaearth,Baby,Moisturisers,Milky,60
491451918,Mamaearth Easy Tummy Roll On 40 ml,8906087770152,Mamaearth,Baby,OTC,Solution Oriented,40
491451925,MAMAEARTH TEA TREE FW W NEEM 100ML TUBE,8906087770664,Mamaearth,Face,Face Cleanser,Tea Tree,100
491451926,MAMAEARTH UBTN T&S FW F TN RMVL100MLTUBE,8906087770671,Mamaearth,Face,Face Cleanser,Ubtan,100
491451927,MMERTH CHRCL&CFE FW F OIL CNTR 100MLTUBE,8906087770657,Mamaearth,Face,Face Cleanser,Charcoal,100
491452142,MAMAEARTH BABIES POWD 0-5YEARS 150g PET,8906087770558,Mamaearth,Baby,Dusting Powder,Solution Oriented,150
491452144,MAMAETH MOIS BTHN BAR FR BABIES75GX2 CBD,8906087771180,Mamaearth,Baby,Baby Soap,Solution Oriented,150
491471860,MAMEARTH GNTL CLSNG SHM FR BBY 200ML BTL,8906087770022,Mamaearth,Baby,Shampoo,Solution Oriented,200
491471861,MAMAEARTH NRSHNG BDYWSH KD 0-5Y 200mlPET,8906087770046,Mamaearth,Baby,Baby Body Wash,Solution Oriented,200
491471863,MMEARTH SOOTHING MASSAGE OIL 100ML BTL,8906087770084,Mamaearth,Baby,Massage Oil,Solution Oriented,100
491471866,MAMAEARTH MOST DLY LOT KD 0-5Y 200ml PET,8906087770008,Mamaearth,Baby,Body Lotion,Solution Oriented,200
491471869,MAMAEARTH GNTL CLNS SMP KD 0-5Y 400mlPET,8906087770442,Mamaearth,Baby,Shampoo,Solution Oriented,400
491471873,MAMAEARTH 100% NATBBTPST KD 12+M 50gTUBE,8906087770527,Mamaearth,Baby,Oral,Berry Blast,50
491471874,MMERTH NTRL RPLNT MSQTO PTCHS 24 CBD,8906087770640,Mamaearth,Baby,Mosquito Protection,Solution Oriented,24
491471915,MAMAEARTH MOIST DLY LOT KD 400ML BTL,8906087770435,Mamaearth,Baby,Body Lotion,Solution Oriented,400
491472720,MMERTH DPLYNOUR BDYWSH FR BABIE400ML BTL,8906087770459,Mamaearth,Baby,Baby Body Wash,Solution Oriented,400
491938238,MAMAEARTH ONION CONDITIONER 250 ml BTL,8906087771814,Mamaearth,Hair,Conditioner,Onion,250
491938239,MAMAEARTH ONN&PLNKRTN HFC SHMP 250ml PET,8906087771807,Mamaearth,Hair,Shampoo,Onion,250
491938240,MMEARTH TEA TREE SHAMPOO 250 ml BTL,8906087771845,Mamaearth,Hair,Shampoo,Tea Tree,250
491938241,"Mamaearth Anti Dandruff Conditioner, With Tea Tree & Ginger Oil, For Dandruff Free Hair - 250ml",8906087771852,Mamaearth,Hair,Conditioner,Tea Tree,250
491938242,MAMAEARTH ONION SHMPO HRFAL CNTL400mlPET,8906087772187,Mamaearth,Hair,Shampoo,Onion,400
491938243,MAMAEARTH ONION CONDITIONER 400ML PET,8906087772170,Mamaearth,Hair,Conditioner,Onion,400
491938246,MAMAEARTH BHRINGA mlA SHAMPOO 250 ml BTL,8906087772897,Mamaearth,Hair,Shampoo,Bhringamla,250
491938247,MAMAEARTH BHRINGAMLA CONDTNER 250ml BTL,8906087772903,Mamaearth,Hair,Conditioner,Bhringamla,250
491938252,MMEARTH ONION HAIR MASK FOR HFC 200G CON,8906087771685,Mamaearth,Hair,Hair Mask,Onion,200
491938255,MAMAEARTH ONION HAIR OIL 150ml CBD,8906087771883,Mamaearth,Hair,Hair Oil,Onion,150
491938257,MAMAEARTH ONION HAIR OIL 250 ml BTL,8906087772491,Mamaearth,Hair,Hair Oil,Onion,250
491938259,MAMAEARTH BHRINGAMLA HAIR OIL 250ml BTL,8906087772873,Mamaearth,Hair,Hair Oil,Bhringamla,250
491938260,MAMAEARTH ONION HAIR SERUM 100 ml BTL,8906087772378,Mamaearth,Hair,Hair Serum,Onion,100
491938264,MAMAEARTH UBTAN BODY LOTION 400 ml BTL,8906087773818,Mamaearth,Body,Body Lotion,Ubtan,400
491938265,MAMAEARTH VITAMINC BODY LOTION 400ml BTL,8906087773795,Mamaearth,Body,Body Lotion,Vitamin C,400
491938269,MAMAEARTH BYE BYE BLMSHS FCE CRM 30G BTL,8906087771944,Mamaearth,Face,Face Cream,Solution Oriented,30
491938272,MAMEARTH UBTNFC MSK SFR TRMC AO 100G TUB,8906087771326,Mamaearth,Face,Face Masks,Ubtan,100
491938287,MAMAEARTH VT-C&TRM FW SKN IMNT 100mlTUBE,8906087772859,Mamaearth,Face,Face Cleanser,Vitamin C,100
491938290,MAMAEARTH SP SPF50 ULR LG IND SS 80G CBD,8906087771333,Mamaearth,Face,Sun Care,Ubtan,80
491938291,MAMAEARTH OLFR FC APL MSTRZ AP SKN80GCBD,8906087771340,Mamaearth,Face,Moisturisers,Apple Cider Vinegar,80
491938292,MAMAEARTH ALOE TUR GL SKN &HR 150 mlTUBE,8906087771746,Mamaearth,Body,Body Gel,Aloe Vera,150
491938301,MAMAEARTH SKN ILLUMINTE FACE SRM 30G CBD,8906087772279,Mamaearth,Face,Face Serum,Vitamin C,30
491938306,MAMAEARTH BYE BYE DRK CRCL EYCRM 20GTUBE,8906087771982,Mamaearth,Face,Under Eye Care,Solution Oriented,20
492367794,MAMAEARTH RICE HAIR OIL 150 ml BTL,8906087775072,Mamaearth,Hair,Hair Oil,Rice,150
492367795,MAMAEARTH RICE WATER SHAMPOO 250 ML BTL,8906087775089,Mamaearth,Hair,Shampoo,Rice,250
492367796,MAMAEARTH RICE WATER CONDTNER 250 ml BTL,8906087775096,Mamaearth,Hair,Conditioner,Rice,250
492367798,MAMAEARTH VITAMIN C BODY WASH 300 ml BTL,8906087774761,Mamaearth,Body,Body Wash,Vitamin C,300
492367799,MAMARTH UBTN BDYWSH TRMRC&SFRN 300ML PET,8906087774754,Mamaearth,Body,Body Wash,Ubtan,300
492367801,MAMAEARTH UBTN TRMC&WLNT FCSCB 100G TUBE,8906087772460,Mamaearth,Face,Face Scrub,Ubtan,100
492367802,ME UBTAN BMB SM W TRMRIC & SFFRN 25G PP,8906087773474,Mamaearth,Face,Face Masks,Ubtan,25
492367803,ME VIT C BMB SM W VTMN C & HONEY 25G PP,8906087773535,Mamaearth,Face,Face Masks,Vitamin C,25
492367804,ME BMB SM W RICE WATER & CCNUT MILK25GPP,8906087773511,Mamaearth,Face,Face Masks,Rice,25
492367805,ME ROSE WTR BMB SM W ROSE WTR&MLK 25G PP,8906087773528,Mamaearth,Face,Face Masks,Rose,25
492411036,MAMAEARTH TEA TREE FOAMING FW 150 ml BTL,8906087774259,Mamaearth,Face,Face Cleanser,Tea Tree,150
492411044,CHARCOAL BLACK LONG STAY KAJAL 0.35GM,8906087776758,Mamaearth Color,Color Care,Kajal,Kajal,1
492411045,CHARCOAL BLACK LONG STAY KOHL 1.2G,8906087776772,Mamaearth Color,Color Care,Kajal,Kohl,1
492411052,MAMAEARTH MILKY SOFT BW FR BBY 400ml BTL,8906087776116,Mamaearth,Baby,Baby Body Wash,Milky,400
492411053,MAMAERTH MLKY SFT BBES  BDYLTN 400ml PET,8906087776123,Mamaearth,Baby,Body Lotion,Milky,400
492411054,MAMAEARTH NRSHNGBTHGBR KDS 2Y+ 5X75g CBD,8906087774020,Mamaearth,Baby,Kids Soap,Solution Oriented,375
492411066,MAMERTH BBY PWDR OTML&ARWRT 0-5Y 300gPET,8906087772613,Mamaearth,Baby,Dusting Powder,Solution Oriented,300
